Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03 00:00:00-05:00,2.6090374624761203,2.617805810080162,2.4763025914740964,2.533750295639038,1238319600,0.0,0.0
2007-01-04 00:00:00-05:00,2.541310328080145,2.5987580488882775,2.5343555555709307,2.5899899005889893,847260400,0.0,0.0
2007-01-05 00:00:00-05:00,2.5933149520800702,2.606316192711305,2.551892521459977,2.571545362472534,834741600,0.0,0.0
2007-01-08 00:00:00-05:00,2.5990603930787306,2.6162947307136664,2.5784998508868986,2.584244966506958,797106800,0.0,0.0
2007-01-09 00:00:00-05:00,2.613875736654461,2.811314486388498,2.5745688398515467,2.798917770385742,3349298400,0.0,0.0
2007-01-10 00:00:00-05:00,2.864832501942923,2.9570508592615354,2.825525803971358,2.9328627586364746,2952880000,0.0,0.0
2007-01-11 00:00:00-05:00,2.9008130751903587,2.9262110356960496,2.875415114684668,2.8965799808502197,1440252800,0.0,0.0
2007-01-12 00:00:00-05:00,2.8599941354067044,2.8742052377466893,2.818874060699946,2.8609018325805664,1312690400,0.0,0.0
2007-01-16 00:00:00-05:00,2.8929521173416712,2.940421640221827,2.885998150549424,2.9358863830566406,1244076400,0.0,0.0
2007-01-17 00:00:00-05:00,2.949794938627195,2.9510037886693246,2.8669492500328135,2.8708791732788086,1646260000,0.0,0.0
2007-01-18 00:00:00-05:00,2.7847077005821883,2.7850100644564306,2.6924885355437023,2.6930930614471436,2364605600,0.0,0.0
2007-01-19 00:00:00-05:00,2.679789429496811,2.710630138366754,2.664369276906865,2.675858497619629,1364473600,0.0,0.0
2007-01-22 00:00:00-05:00,2.695208752399699,2.6958140854910204,2.5896868214851887,2.624155282974243,1454026000,0.0,0.0
2007-01-23 00:00:00-05:00,2.592106416538572,2.645925572706743,2.5854548148330037,2.5911989212036133,1207424400,0.0,0.0
2007-01-24 00:00:00-05:00,2.620830070503655,2.6350409716068595,2.6026890443329056,2.6214354038238525,927813600,0.0,0.0
2007-01-25 00:00:00-05:00,2.633831824768521,2.6758594047501734,2.6011775272719104,2.6078293323516846,905973600,0.0,0.0
2007-01-26 00:00:00-05:00,2.6338309890323504,2.6416924492672345,2.5697314664927666,2.5815236568450928,986874000,0.0,0.0
2007-01-29 00:00:00-05:00,2.60934084074257,2.619923375105647,2.5860592247747887,2.5984561443328857,901664400,0.0,0.0
2007-01-30 00:00:00-05:00,2.613271784198976,2.615085967696716,2.577593447611963,2.5866639614105225,577970400,0.0,0.0
2007-01-31 00:00:00-05:00,2.5658004152148477,2.6002696885467245,2.550380466065468,2.5921058654785156,856069200,0.0,0.0
2007-02-01 00:00:00-05:00,2.607224376772656,2.6084332268427457,2.562173366546631,2.562173366546631,664342000,0.0,0.0
2007-02-02 00:00:00-05:00,2.543426212992282,2.577592311245111,2.530727135951733,2.5624747276306152,621530000,0.0,0.0
2007-02-05 00:00:00-05:00,2.548869067577657,2.5769889094573526,2.5379843711853027,2.5379843711853027,578852400,0.0,0.0
2007-02-06 00:00:00-05:00,2.553403969733229,2.5540093029667412,2.5053297324679678,2.5443334579467773,864393600,0.0,0.0
2007-02-07 00:00:00-05:00,2.5543110096636643,2.6117587178595882,2.526191984078838,2.604804754257202,1066825200,0.0,0.0
2007-02-08 00:00:00-05:00,2.58303508618243,2.6156901834232897,2.5824307621116738,2.6057121753692627,679030800,0.0,0.0
2007-02-09 00:00:00-05:00,2.5966416125940976,2.606316651046064,2.5159124765272,2.5177266597747803,860540800,0.0,0.0
2007-02-12 00:00:00-05:00,2.5527994365606506,2.575476523341866,2.528611136072762,2.566406011581421,724071600,0.0,0.0
2007-02-13 00:00:00-05:00,2.5748730888513287,2.578803013165475,2.548869786871727,2.560964345932007,580986000,0.0,0.0
2007-02-14 00:00:00-05:00,2.5588464877346957,2.589384224498252,2.5570321029596723,2.5791046619415283,507981600,0.0,0.0
2007-02-15 00:00:00-05:00,2.5833376467382574,2.5887795897642842,2.5633816353478336,2.576382875442505,363661200,0.0,0.0
2007-02-16 00:00:00-05:00,2.577593557544133,2.582431178566023,2.5597540857221817,2.564894676208496,399868000,0.0,0.0
2007-02-20 00:00:00-05:00,2.5594512576913253,2.6051073917387093,2.5446356308612055,2.597245931625366,617702400,0.0,0.0
2007-02-21 00:00:00-05:00,2.5996653782037304,2.70579249586062,2.5990608521762053,2.697024345397949,1155313600,0.0,0.0
2007-02-22 00:00:00-05:00,2.7454010240112505,2.745703186042821,2.676766442470067,2.706397294998169,838224800,0.0,0.0
2007-02-23 00:00:00-05:00,2.6958149418504522,2.7314930716308607,2.686441258058858,2.6930930614471436,517893600,0.0,0.0
2007-02-26 00:00:00-05:00,2.7163749202861296,2.721213348603655,2.6489499855537035,2.676161527633667,615848800,0.0,0.0
2007-02-27 00:00:00-05:00,2.6093401516555166,2.6329237215967876,2.5219592303370857,2.5376813411712646,1145813200,0.0,0.0
2007-02-28 00:00:00-05:00,2.5095634177266923,2.5881760185975775,2.5095634177266923,2.5582427978515625,919475200,0.0,0.0
2007-03-01 00:00:00-05:00,2.540704856600629,2.670114362073476,2.5322388707785803,2.632319688796997,1415528800,0.0,0.0
2007-03-02 00:00:00-05:00,2.623552449619121,2.6468340718680987,2.5763842753295854,2.5824315547943115,860000400,0.0,0.0
2007-03-05 00:00:00-05:00,2.596943305851664,2.6803932915502875,2.5930123746519604,2.6099443435668945,838899600,0.0,0.0
